Tm_(C),m_(kcal/mol/M),Cm_(M),∆G_H2O_(kcal/mol)
,1.13,4.24,4.79
,1.01,3.36,3.39
,1.24,3.36,4.17
,0.76,3.16,2.41
,0.95,4.67,4.45
,,,4.09
,,,
,,,
,,,
,2.75,3.63,
,2.46,2.4,
,2.84,2.88,
,2.7,1.66,
,,5.5,5.0
,3.03,,10.07
,3.1,,12.56
,,,18.16
,,,18.24
,,,18.08
,,,18.3
,,,18.62
,,,18.6
,,,18.16
,,,17.99
,,,17.3
,,,17.19
,,,18.49
,,,17.96
,,,17.47
,,,17.93
,,,17.36
,,,18.17
,,,18.11
,,,17.54
,,,17.57
,,,17.97
,,,18.57
,,,18.56
,,,18.98
,,,19.21
,,,19.01
,,,18.77
,,,18.23
,,,17.95
,,,16.87
,,,18.64
,,,18.36
,,,18.24
,,,18.51
,,,17.94
,,,17.84
,,,18.49
,,,17.71
,,,18.06
,,,2.2
,,,2.9
,,,3.4
,,,5.6
,,,7.1
,,,4.1
,,,6.5
,,,6.3
,1.31,1.91,
,4.61,1.29,
,5.28,1.5,
,5.76,1.57,
,4.08,1.65,
,4.21,1.77,
,3.25,2.28,
,,6.8,
,,5.6,
,,5.1,
,,4.8,
,2.02,4.58,9.93
,2.15,4.12,8.94
,2.12,4.42,9.59
,2.26,4.37,9.47
,1.98,4.16,9.04
,1.96,4.36,9.46
,2.14,4.78,10.38
,2.16,4.63,10.04
,,,2.3
,3.07,1.51,11.03
,2.21,1.53,9.8
,1.82,1.39,9.89
,2.07,2.61,12.75
,1.77,3.04,12.74
,1.98,4.44,16.18
,,,2.97
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,8.76
,,,9.5
,,,5.72
,,,6.36
,,,7.64
,,,10.17
,,,7.35
,,,3.76
,,,4.5
,,,7.19
,,,6.74
,,,8.8
,,,7.2
,,,6.3
,,,8.2
,,,7.0
,0.71,4.2,3.0
,0.69,4.2,2.9
,0.78,4.2,3.2
,2.2,1.4,3.1
,2.0,1.6,3.2
,2.2,1.4,3.0
,0.6,4.0,2.6
,0.6,4.5,2.6
,0.7,4.1,3.1
,1.7,1.5,2.4
,2.9,1.3,3.7
,2.1,1.6,3.3
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,16.97
,,,16.49
,3.87,0.34,1.3
,5.32,0.42,2.26
,2.98,0.92,2.75
,1.17,5.6,6.55
,1.0,4.3,4.35
,0.88,2.0,1.72
,1.03,2.7,2.82
,1.22,1.8,2.27
,1.03,3.8,3.85
,0.81,3.4,2.77
,0.86,2.6,2.2
,0.69,6.1,4.21
,0.79,2.0,1.58
,0.81,6.6,5.35
,1.15,4.4,5.02
,,,3.32
,,4.52,5.69
,,5.31,6.68
,,,4.23
,,,4.0
,,,2.27
,,,4.04
,,,4.0
,,,3.76
,,,3.54
,,,4.35
,,,2.63
,,,3.44
,,,3.33
,,,3.85
,,,2.44
,,,4.62
,4.0,,22.0
,,,8.1
,,,8.3
,,,8.9
,,,5.6
,1.79,3.14,5.61
,1.83,2.43,4.45
,2.24,1.24,2.79
,2.89,0.7,2.02
,2.65,0.68,1.8
,2.42,0.48,1.17
,2.16,0.45,0.96
,1.9,4.0,7.61
,2.1,3.59,7.52
,1.86,3.54,6.58
,2.11,3.61,7.61
,2.15,3.16,6.79
,2.18,3.14,6.86
,1.87,3.85,7.03
,1.83,3.73,6.84
,2.01,3.64,7.29
,1.84,3.76,6.92
,2.2,3.62,7.98
,2.18,3.45,7.53
,,,
,,,
,,,
,,,
,,,
,,,11.47
,,,11.47
,,,11.23
,,,11.47
,,,12.43
,,,6.8
,,,10.95
,,,8.0
,,,7.3
,,,7.2
,,,6.7
,,,7.4
,,,9.8
,,,11.1
,,,10.9
,,,10.5
,,,10.7
,,,9.0
,,,10.0
,,,9.2
,,,8.4
,,,9.1
,,,8.3
,,,8.6
,,,9.9
,,,8.9
,,,10.1
,,,9.3
,,,10.2
,,,7.8
,,,7.0
,,,6.5
,,,7.7
,,,7.6
,,,7.5
,,,6.9
,-1.39,0.63,3.72
,-1.39,0.41,2.49
,-1.33,0.55,3.34
,-1.31,0.63,3.52
,-1.43,0.69,3.78
,1.68,1.78,3.39
,2.19,3.07,8.98
,2.6,,1.0
,2.5,,0.9
,2.7,,1.0
,2.7,,1.2
,1.6,,3.4
,1.6,,3.6
,2.1,,4.9
,1.7,,3.7
,6.2,1.73,
,6.3,1.74,
,5.0,1.34,
,6.1,1.36,
,6.0,1.76,
,5.6,1.37,
,6.0,1.86,
,5.5,1.43,
,5.2,1.39,
,4.7,2.12,
,5.0,2.13,
,5.9,1.79,
,3.7,2.34,
,4.0,2.33,
,5.2,1.89,
,5.6,1.73,
,5.2,1.25,
,4.8,1.26,
,5.5,1.35,
,5.0,1.41,
,4.4,1.43,
,5.0,1.44,
,3.0,1.05,3.1
,3.3,0.89,2.9
,3.2,1.05,3.4
,3.0,0.78,2.3
,2.5,0.37,0.9
,5.4,0.74,4.03
,3.5,2.28,8.08
,4.9,0.63,3.11
,3.2,1.31,4.2
,6.6,0.77,5.05
,3.7,2.36,8.73
,5.7,0.69,3.9
,3.3,1.53,5.05
,,,8.23
,,,6.55
,,,7.63
,,,4.08
,,,6.3
,,,6.49
,,,5.91
,,,7.83
,,,7.63
,,,6.87
,,,5.36
,,,2.48
,,,7.82
,,,5.49
,,,5.49
,,,6.75
,,,6.68
,,,7.07
,,,7.65
,,,6.9
,,,3.9
,,,6.47
,,,4.39
,,,7.1
,,,5.96
,,,8.13
,,,7.97
,,,7.52
,,,8.38
,,,7.44
,,,8.84
,,,7.54
,,,8.48
,,,7.94
,,,7.91
,,,7.63
,,,6.35
,,,5.6
,,,7.56
,,,7.72
,,,8.52
,,,7.56
,,,8.16
,,,7.21
,,,7.69
,,,6.5
,,,6.96
,,,6.89
,,,8.3
,,,7.78
,,,7.89
,,,7.07
,,,8.6
,,,7.43
,,,8.08
,,,7.44
,,,8.01
,,,7.84
,,,8.21
,,,7.25
,,,7.96
,,,7.21
,,,8.73
,,,7.77
,,,7.38
,,,8.44
,,,7.46
,,,6.85
,,,7.08
,,,7.99
,,,7.67
,6.2,1.73,-10.7
,6.5,1.66,-10.7
,5.2,1.39,-7.3
,4.9,1.38,-6.7
,5.1,1.38,-7.1
,5.5,1.35,-7.5
,5.2,1.25,-6.5
,3.1,0.81,-2.5
,3.1,0.84,-2.6
,3.0,0.84,-2.5
,2.8,0.8,-2.3
,2.4,0.7,-1.7
,6.3,1.74,-11.0
,6.8,1.66,-11.2
,5.4,1.39,-7.5
,5.1,1.38,-7.1
,5.3,1.36,-7.3
,5.5,1.36,-7.5
,5.3,1.26,-6.7
,3.2,0.89,-2.8
,3.1,0.8,-2.5
,3.0,0.85,-2.5
,2.8,0.82,-2.3
,2.6,0.68,-1.7
,,4.09,
,,3.93,
,,3.56,
,,3.34,
,,2.99,
,,4.03,
,,3.91,
,,3.52,
,,3.33,
,,3.05,
,4.08,1.8,7.34
,3.42,1.96,6.71
,3.85,1.86,7.16
,3.42,2.04,6.97
,1.7,0.74,1.25
,3.39,2.08,7.08
,3.72,1.98,7.36
,3.55,1.9,6.74
,3.55,2.05,7.28
,3.31,1.67,5.52
,6.05,0.64,3.86
,1.88,4.14,7.8
,3.51,2.91,9.93
,3.82,1.5,5.68
,3.93,1.77,7.04
,1.92,0.75,1.0
,4.24,12.8,12.8
,3.37,1.72,5.79
,3.17,1.81,5.75
,3.74,0.8,1.9
,,2.7,
,,5.7,
,,2.6,
,,5.7,
,,1.9,
,,5.8,
,,2.0,
,,5.8,
,,5.9,
,,2.5,
,,2.3,
,3.86,1.19,4.6
,0.43,6.35,2.7
,0.45,4.69,2.1
,0.45,3.41,1.5
,1.17,5.2,6.1
,1.25,2.32,2.9
,1.24,2.07,2.6
,0.91,4.46,4.1
,1.2,4.16,5.0
,1.21,1.9,2.3
,1.21,2.35,2.9
,1.33,1.9,2.5
,1.32,2.19,2.9
,0.352,5.226,
,0.451,4.15,
,0.354,5.321,
,0.507,4.472,
,,5.268,
,,4.94,9.1
,,4.41,8.1
,,3.85,7.0
,,5.47,10.0
,,4.92,
,,4.42,
,,3.95,
,,5.35,
,2.08,5.3,11.4
,2.83,2.9,8.59
,3.05,2.7,8.35
,0.52,1.9,1.51
,1.15,1.6,1.38
,,,11.2
,,,7.5
,1.2,3.93,4.7
,1.2,2.0,2.4
,1.28,6.92,
,,,
,1.22,5.83,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,1.33,6.27,
,,,
,,,
,,,
,,,
,,,
,,,
,1.21,6.27,
,,,
,,,
,,,
,1.24,6.27,
,,,
,,,
,,,
,,,
,,4.1,
,,4.7,
,,4.0,
,,3.4,
,,4.5,
,,3.3,
,,3.6,
,,4.2,
,,3.7,
,,3.09,
,,4.55,
,,3.28,
,,3.18,
,,3.33,
,,3.43,
,,3.26,
,,3.25,
,,3.12,
,,3.33,
,,3.15,
,,3.07,
,,2.89,
,,2.94,
,,3.07,
,,3.07,
,,2.62,
,,2.73,
,,2.88,
,,2.83,
,,2.96,
,,2.65,
,,3.05,
,2.0,2.5,
,2.5,2.2,
,2.4,2.5,
,2.6,2.8,
,2.0,3.1,
,1.7,2.9,
,1.7,3.3,
,1.9,2.6,
,2.6,2.3,
,2.5,2.6,
,2.6,2.8,
,2.3,3.1,
,2.1,3.0,
,2.1,3.5,
,-0.61,6.2,-3.77
,-0.57,5.9,-3.34
,-0.57,5.7,-3.26
,-0.86,7.9,-6.8
,3.4,2.39,8.1
,,2.49,6.3
,,2.61,8.03
,,2.57,13.15
,,1.59,5.93
,,1.64,9.73
,,2.11,13.41
,,2.12,11.04
,,2.56,14.94
,-1.78,2.27,4.03
,-1.87,2.33,4.35
,-1.95,2.39,4.65
,-1.91,2.69,5.13
,-1.96,2.19,4.31
,-1.88,2.46,4.64
,-1.73,2.49,4.27
,-1.94,2.21,4.27
,-1.9,2.34,4.43
,-1.89,1.85,3.51
,-2.12,1.66,3.51
,-1.88,2.18,4.09
,-1.95,2.21,4.31
,-2.11,1.6,3.38
,-1.87,2.05,3.83
,-1.88,2.65,4.97
,-2.08,2.11,4.37
,-1.79,2.49,4.45
,-2.26,2.33,5.27
,-1.96,1.97,3.86
,-2.11,1.8,3.8
,-2.02,2.17,4.38
,-1.96,2.09,4.12
,-2.02,2.03,4.1
,-1.73,2.56,4.43
,-1.63,1.5,2.44
,-2.45,0.29,0.71
,-2.05,2.4,4.92
,-2.56,0.28,0.71
,-2.66,0.56,1.5
,-1.54,1.71,2.64
,-1.95,1.88,3.68
,-1.75,1.07,1.87
,-1.7,1.49,2.54
,-1.75,2.81,4.92
,-1.76,1.53,2.7
,-1.71,2.69,4.59
,-1.83,2.75,5.02
,-2.44,0.86,2.11
,-2.14,1.68,3.61
,-2.4,1.15,2.76
,-2.41,1.21,2.94
,-2.12,0.97,2.05
,-2.01,1.49,2.99
,-2.05,1.93,3.94
,-2.44,0.38,0.93
,-1.77,1.61,2.86
,-2.13,1.25,2.67
,-2.08,0.42,0.87
,-2.0,0.59,1.2
,-1.95,2.19,4.26
,-2.5,1.01,2.52
,-1.66,2.89,4.79
,-2.57,0.5,1.28
,-1.97,1.9,3.74
,-1.88,2.21,4.16
,-1.87,2.11,3.96
,-1.93,2.25,4.35
,-2.22,1.45,3.21
,-2.11,2.05,4.34
,-1.91,2.38,4.55
,-2.02,2.22,4.5
,-2.06,2.44,5.03
,-2.1,2.14,4.5
,-1.94,1.94,3.76
,-1.47,0.92,1.36
,-2.04,0.98,2.0
,-1.9,2.09,3.99
,-1.97,2.16,4.26
,-1.82,1.89,3.45
,-2.05,2.26,4.62
,-1.82,2.29,4.18
,-2.02,1.82,3.67
,-1.91,2.17,4.14
,-1.75,2.54,4.43
,-2.01,2.14,4.3
,-1.87,2.37,4.42
,-1.9,2.34,4.44
,-1.75,2.66,4.65
,-1.87,2.11,3.95
,-1.71,2.5,4.29
,-1.98,2.32,4.59
,-1.92,2.26,4.34
,-1.87,2.32,4.34
,-2.03,2.2,4.47
,-1.65,2.43,3.99
,-2.23,1.37,3.05
,-2.0,2.32,4.63
,-1.9,2.31,4.37
,-1.88,2.27,4.27
,-1.93,1.93,3.73
,-1.93,1.71,3.31
,-1.81,2.03,3.69
,-1.66,3.05,5.07
,-2.0,1.86,3.72
,-2.01,2.15,4.32
,-2.02,2.51,5.09
,-2.16,2.18,4.72
,-2.14,2.03,4.36
,-1.83,1.9,3.49
,-1.83,2.17,3.97
,-1.96,2.37,4.65
,-1.95,1.86,3.64
,-1.82,2.4,4.4
,-1.79,2.31,4.14
,-1.91,2.37,4.52
,-1.73,2.3,3.99
,-1.86,2.41,4.49
,-1.72,2.63,4.54
,-2.13,2.14,4.57
,-2.07,1.87,3.86
,-2.04,2.13,4.35
,-1.94,1.52,2.95
,-1.88,1.99,3.74
,-1.94,3.03,5.88
,-2.05,1.36,2.8
,-2.01,2.27,4.55
,-1.62,2.97,4.8
,-1.99,2.18,4.35
,-1.79,2.72,4.88
,-1.9,2.47,4.69
,-2.24,1.78,3.98
,-2.28,0.9,2.09
,-2.08,2.12,4.4
,-2.02,2.28,4.59
,-2.02,2.0,4.04
,-2.07,1.88,3.88
,-2.03,1.83,3.72
,-1.95,2.23,4.34
,-1.87,2.49,4.65
,-1.99,1.48,2.94
,-1.97,2.01,3.97
,-1.91,2.11,4.04
,-1.98,1.99,3.94
,-1.91,2.05,3.92
,-2.09,2.0,4.17
,-2.06,1.91,3.92
,-2.52,0.79,2.01
,-1.97,2.19,4.3
,-2.12,2.03,4.3
,-1.98,2.23,4.41
,-2.2,2.01,4.41
,-2.1,1.06,2.24
,-2.02,1.66,3.35
,-2.11,2.2,4.66
,-1.85,1.2,2.22
,-2.21,1.67,3.68
,-1.84,2.6,4.78
,-2.24,1.4,3.14
,-2.12,2.31,4.91
,-2.32,2.12,4.91
,-2.41,1.36,3.27
,-2.05,1.69,3.45
,-2.22,1.65,3.66
,-2.0,1.62,3.23
,-2.09,1.99,4.16
,-1.93,2.18,4.2
,-2.01,2.24,4.49
,-2.03,2.23,4.51
,-2.0,2.4,4.8
,-2.19,2.4,5.26
,-2.01,2.09,4.22
,-1.89,2.21,4.17
,-1.86,2.42,4.5
,-1.88,2.39,4.51
,-1.89,2.32,4.4
,-2.06,2.25,4.63
,-1.96,2.3,4.51
,-1.83,2.6,4.77
,-1.76,2.38,4.17
,-1.95,2.32,4.51
,-2.0,2.24,4.48
,-1.89,2.17,4.11
,-2.1,1.43,2.99
,-2.03,2.44,4.96
,-1.94,2.18,4.23
,-1.7,2.63,4.47
,-2.22,2.04,4.53
,-2.03,2.06,4.2
,-1.82,2.53,4.61
,-1.83,1.97,3.58
,-1.96,2.0,3.92
,-2.02,1.97,3.97
,-1.87,2.23,4.17
,-1.98,2.04,4.03
,-2.65,0.76,2.01
,-1.76,2.48,4.36
,-1.81,2.19,3.96
,-1.96,2.3,4.52
,-2.08,2.17,4.53
,-2.45,1.41,3.45
,-1.94,2.37,4.59
,-1.89,2.16,4.08
,-1.83,2.46,4.49
,-1.91,2.23,4.25
,-2.02,1.99,4.02
,-1.85,2.18,4.02
,-2.03,2.35,4.78
,-2.13,2.01,4.28
,-2.11,1.82,3.85
,-1.96,2.11,4.13
,-1.65,2.69,4.45
,-2.43,1.31,3.2
,-1.97,2.12,4.18
,-1.76,2.6,4.54
,-1.99,2.2,4.36
,-1.89,2.26,4.27
,-2.02,2.08,4.21
,-1.97,1.92,3.79
,-2.88,0.47,1.35
,-2.13,2.1,4.48
,-2.02,2.22,4.48
,-2.16,1.82,3.92
,-2.16,2.13,4.58
,-2.93,0.35,1.05
,-1.87,1.85,3.46
,-1.96,1.83,3.58
,-1.65,1.87,3.08
,-1.85,2.02,3.74
,-2.08,1.37,2.86
,-1.83,2.26,4.12
,-1.84,2.24,4.1
,-1.85,2.16,4.0
,-1.81,2.38,4.31
,-1.51,2.28,3.44
,-1.9,1.87,3.56
,-1.92,1.98,3.78
,-1.86,2.18,4.07
,-1.88,2.43,4.55
,-1.84,2.22,4.08
,-2.24,2.11,4.72
,-1.76,2.21,3.89
,-2.0,2.31,4.61
,-2.45,0.97,2.46
,-2.17,1.06,2.3
,-1.8,2.34,4.21
,-2.46,0.21,0.56
,-2.08,1.24,2.58
,-1.91,2.01,3.85
,-2.42,1.07,2.58
,-1.82,1.77,3.22
,-2.22,1.6,3.55
,-2.41,0.88,2.12
,-2.44,1.14,2.78
,-1.82,1.22,2.22
,-2.5,0.8,1.99
,-2.21,1.11,2.45
,-2.13,1.72,3.68
,-1.69,2.61,4.4
,-1.68,2.39,4.02
,-1.73,2.67,4.62
,-1.77,2.76,4.9
,-2.05,2.02,4.13
,-1.61,2.39,3.85
,-1.76,2.59,4.55
,-1.78,2.78,4.93
,-1.66,2.82,4.66
,-1.49,2.56,3.83
,-1.88,2.33,4.36
,-1.81,2.37,4.28
,-2.15,1.36,2.93
,-1.74,2.23,3.9
,-1.84,2.69,4.95
,-2.01,1.53,3.07
,-1.6,2.8,4.48
,-1.59,2.69,4.29
,-1.96,2.57,5.02
,-1.59,2.96,4.71
,-1.38,2.77,3.82
,-2.13,1.79,3.83
,-1.96,2.07,4.06
,-2.02,1.93,3.9
,-2.0,1.91,3.83
,-1.13,2.02,2.29
,-1.91,0.28,0.45
,-1.65,2.16,3.57
,-2.04,2.32,4.73
,-2.23,0.77,1.72
,-2.28,1.1,2.5
,-1.94,2.54,4.91
,-2.33,0.9,2.12
,-1.98,2.17,4.29
,-1.99,1.9,3.76
,-2.28,0.76,1.72
,-2.18,1.16,2.53
,-2.36,0.86,2.02
,-2.34,1.02,2.38
,-2.36,1.22,2.88
,-1.85,2.2,4.06
,-1.89,2.36,4.46
,-1.66,0.96,1.59
,-2.21,2.21,4.89
,-2.03,2.3,4.66
,-2.32,2.01,4.66
,-1.93,2.04,3.93
,-1.89,2.25,4.25
,-1.82,2.22,4.03
,-2.22,1.76,3.91
,-1.91,2.25,4.29
,-2.31,2.03,4.7
,-1.96,2.16,4.21
,-2.14,1.94,4.17
,-1.95,2.0,3.9
,-1.96,2.05,4.0
,-1.98,2.14,4.23
,-1.94,2.12,4.1
,-1.91,2.27,4.35
,-1.74,1.64,2.85
,-2.05,1.95,4.0
,-2.84,0.66,1.87
,-2.74,0.33,0.93
,-2.56,0.91,2.32
,-2.62,0.62,1.62
,-3.0,0.64,1.91
,-3.16,0.33,1.08
,-2.66,0.6,1.59
,-1.69,1.22,2.07
,-1.52,2.57,3.89
,-2.01,1.73,3.48
,-2.06,1.55,3.19
,-2.03,1.81,3.69
,-2.03,1.64,3.33
,-2.19,1.44,3.18
,-1.87,1.87,3.49
,-2.07,1.81,3.76
,-2.19,1.86,4.07
,-2.21,1.96,4.33
,-2.19,1.69,3.7
,-2.08,1.99,4.14
,-2.11,1.74,3.68
,-1.99,1.78,3.55
,-2.01,2.1,4.22
,-1.96,1.95,3.83
,-2.28,1.21,2.75
,-2.05,1.43,2.94
,-1.97,2.22,4.37
,-1.7,2.15,3.66
,-1.84,2.6,4.76
,-2.19,1.16,2.54
,-2.41,1.28,3.09
,-2.53,0.26,0.62
,-2.2,1.51,3.32
,-2.7,0.58,1.57
,-2.45,0.77,1.89
,-2.14,1.76,3.77
,-2.27,1.18,2.7
,-2.11,1.42,3.01
,-2.24,1.39,3.11
,-2.19,0.84,1.83
,-2.18,1.39,3.03
,-2.36,0.94,2.22
,-2.3,1.52,3.5
,-2.09,1.38,2.88
,-2.34,1.01,2.39
,-1.55,2.28,3.53
,-1.83,2.15,3.93
,-1.84,1.61,2.98
,-1.76,2.19,3.85
,-2.02,1.77,3.58
,-2.04,1.8,3.67
,-1.74,2.32,4.04
,-2.24,1.54,3.45
,0.0,0.0,3.73
,-2.08,1.82,3.79
,-2.14,1.72,3.68
,-2.1,1.02,2.15
,-2.55,0.54,1.37
,-1.68,1.34,2.26
,-2.08,2.09,4.34
,-1.91,2.04,3.91
,-2.07,1.63,3.35
,-1.77,2.44,4.33
,-2.67,0.42,1.13
,-2.95,0.9,2.68
,-2.4,1.03,2.47
,-2.09,1.62,3.38
,-2.08,1.79,3.73
,-1.89,1.91,3.61
,-1.89,2.0,3.78
,-2.13,1.43,3.05
,-1.98,1.68,3.34
,-1.93,1.94,3.75
,-1.62,1.98,3.2
,-2.12,1.78,3.77
,-1.9,1.84,3.5
,-2.12,2.1,4.43
,-2.08,1.93,4.03
,-2.11,1.87,3.95
,-2.21,2.03,4.49
,-1.77,2.1,3.73
,-2.09,1.89,3.97
,-1.67,2.9,4.85
,-1.78,2.03,3.6
,-1.59,1.75,2.78
,-1.86,2.14,3.98
,-1.97,1.5,2.95
,-1.83,2.08,3.8
,-1.68,2.13,3.57
,-1.95,2.12,4.13
,-1.84,1.79,3.29
,-1.91,2.19,4.2
,-1.82,1.43,2.67
,-1.74,2.14,3.72
,-1.79,2.07,3.7
,-1.8,2.04,3.67
,-1.89,2.46,4.65
,-1.88,1.99,3.74
,-1.88,2.04,3.83
,-1.78,1.24,2.2
,-1.86,2.07,3.85
,-1.77,2.34,4.15
,-3.98,0.36,1.43
,-2.12,1.81,3.82
,-2.91,0.54,1.6
,-2.23,0.58,1.29
,-1.77,1.25,2.22
,-2.87,0.38,1.09
,-2.08,1.79,3.71
,-2.05,1.74,3.57
,-2.55,0.97,2.49
,-1.95,2.34,4.56
,-1.55,2.4,3.72
,-1.67,2.52,4.21
,-2.32,2.33,5.4
,-1.85,2.55,4.71
,-2.14,1.77,3.79
,-2.06,1.4,2.88
,-2.08,1.29,2.68
,-2.02,2.24,4.51
,-2.24,1.64,3.66
,-2.04,1.57,3.2
,-2.06,2.15,4.41
,-1.85,2.38,4.41
,-1.74,2.24,3.91
,-1.92,2.02,3.87
,-1.86,2.09,3.88
,-1.73,2.29,3.94
,-1.82,2.44,4.43
,-1.88,2.38,4.48
,-1.5,2.42,3.63
,-1.84,2.22,4.08
,-2.21,1.87,4.13
,-1.94,2.34,4.54
,-1.75,2.29,4.02
,-1.93,2.22,4.28
,-1.84,2.23,4.1
,-1.92,2.26,4.34
,-1.96,2.26,4.43
,-1.71,2.66,4.55
,-1.91,2.39,4.57
,-1.91,2.21,4.24
,-1.76,2.12,3.74
,-2.17,2.25,4.89
,-1.7,2.47,4.18
,-1.72,2.06,3.56
,-1.51,1.97,2.99
,-1.89,2.29,4.32
,-1.54,3.01,4.61
,-1.86,2.44,4.53
,-1.76,2.31,4.08
,-1.76,2.47,4.36
,-1.82,2.12,3.87
,-1.73,2.23,3.85
,-1.83,2.35,4.3
,-2.01,1.98,3.99
,-2.08,1.69,3.53
,-2.11,0.62,1.36
,-1.92,1.63,3.14
,-2.02,1.71,3.46
,-2.18,1.6,3.47
,-2.28,1.58,3.59
,-2.16,1.51,3.27
,-1.82,2.42,4.42
,-2.16,1.71,3.7
,-1.4,1.48,2.08
,-2.06,1.87,3.86
,-1.95,1.64,3.2
,-2.0,1.76,3.53
,-1.33,1.81,2.41
,-1.86,2.07,3.86
,-2.0,2.22,4.44
,-1.78,2.54,4.53
,-1.78,1.71,3.06
,-1.78,2.22,3.88
,-1.96,2.66,5.26
,-1.83,2.51,4.58
,-1.91,2.41,4.59
,-1.94,2.28,4.43
,-1.8,2.31,4.17
,-2.17,1.29,2.8
,-1.97,2.4,4.73
,-1.9,2.39,4.53
,-1.74,2.24,3.92
,-1.61,2.42,3.88
,-1.53,2.58,3.96
,-1.81,2.56,4.62
,-1.99,2.32,4.6
,-2.87,0.59,1.71
,-1.79,2.29,4.11
,-1.83,2.39,4.38
,-1.76,0.82,1.48
,-1.76,2.5,4.4
,-1.47,3.06,4.48
,-1.9,2.0,3.82
,-1.71,2.6,4.45
,-1.81,2.47,4.47
,-1.73,2.34,4.05
,-1.94,2.31,4.48
,-1.87,2.48,4.64
,-1.82,1.22,2.23
,-1.84,2.54,4.66
,-1.76,2.53,4.45
,-1.82,2.47,4.5
,-1.9,2.41,4.56
,-1.84,2.46,4.53
,-1.54,2.96,4.57
,-1.79,1.95,3.51
,-2.16,2.14,4.62
,-2.03,1.27,2.59
,-2.21,2.0,4.42
,-2.23,1.87,4.17
,-2.06,1.75,3.62
,-1.97,2.19,4.32
,-2.39,0.54,1.28
,-2.14,2.0,4.3
,-1.96,1.83,3.58
,-2.15,1.82,3.92
,-2.35,1.35,3.17
,-2.31,1.23,2.83
,-1.9,1.86,3.54
,-2.26,0.12,-0.12
,-1.94,2.55,4.95
,-1.6,2.63,4.21
,-1.99,2.14,4.25
,-2.09,2.01,4.19
,-1.6,2.63,4.22
,-1.83,2.58,4.72
,-2.07,2.48,5.14
,-1.66,2.28,3.78
,-1.59,1.81,2.89
,-1.79,2.14,3.83
,-1.91,2.23,4.26
,-1.8,2.29,4.12
,-1.86,2.29,4.24
,-1.98,2.3,4.55
,-1.96,2.3,4.52
,-2.36,0.56,1.32
,-1.9,2.31,4.39
,-1.83,2.37,4.35
,-2.03,2.22,4.52
,-1.85,2.03,3.75
,-2.03,2.16,4.38
,-2.17,2.1,4.56
,-1.8,2.64,4.76
,-1.6,2.58,4.12
,-1.91,2.49,4.74
,-1.96,2.3,4.51
,-1.85,2.37,4.37
,-1.75,2.74,4.8
,-2.35,0.61,1.43
,-2.2,0.97,2.15
,-2.36,1.1,2.6
,-3.21,0.26,0.41
,-1.99,1.68,3.33
,-2.62,0.47,1.26
,-2.13,1.97,4.22
,-2.24,1.66,3.72
,-2.35,1.12,2.63
,-2.43,0.71,1.74
,-2.87,0.39,0.41
,-2.22,1.61,3.57
,-2.1,1.77,3.72
,-2.14,1.94,4.16
,-2.17,0.93,2.03
,-1.85,2.35,4.33
,-2.05,2.08,4.26
,-2.17,2.07,4.49
,-1.93,2.01,3.87
,-2.16,1.73,3.74
,-1.8,2.28,4.09
,-2.02,2.21,4.47
,-1.98,1.73,3.42
,-1.97,2.26,4.47
,-1.9,1.71,3.26
,-2.09,1.72,3.61
,-2.01,2.12,4.25
,-1.78,1.93,3.43
,-2.13,1.69,3.57
,-2.61,0.97,2.54
,-2.19,1.74,3.82
,-2.78,0.57,1.61
,-1.57,2.97,4.66
,-1.42,2.71,3.86
,-1.75,2.41,4.21
,-1.96,2.35,4.62
,-2.05,2.2,4.5
,-2.69,1.1,2.95
,-1.85,2.47,4.56
,-2.04,2.44,4.98
,-1.94,2.25,4.37
,-2.03,2.1,4.26
,-1.97,2.17,4.27
,-1.87,2.25,4.25
,-2.21,1.85,4.09
,-1.97,2.09,4.11
,-2.1,2.35,4.92
,-2.01,2.91,5.84
,-2.07,2.45,5.06
,-1.11,1.79,1.98
,-2.0,2.24,4.48
,-1.93,2.3,4.43
,-1.95,1.87,3.65
,-2.32,1.35,3.13
,-1.78,1.68,3.0
,-1.64,2.49,4.1
,-2.23,0.75,1.69
,-2.05,0.78,1.6
,-2.0,1.98,3.96
,-2.09,2.02,4.22
,-1.89,2.25,4.25
,-1.96,2.39,4.69
,-2.08,2.26,4.7
,-2.05,2.04,4.19
,-1.7,2.06,3.49
,-2.01,2.29,4.59
,-2.01,2.4,4.81
,-1.84,2.29,4.22
,-2.15,2.13,4.57
,-1.7,2.14,3.64
,-2.01,1.91,3.84
,-1.77,2.23,3.95
,-2.04,2.26,4.6
,-1.97,2.15,4.23
,-2.11,2.07,4.36
,-1.94,2.17,4.21
,-2.04,2.22,4.54
,-2.02,1.78,3.59
,-1.96,2.07,4.05
,-2.03,2.29,4.64
,-2.13,1.51,3.22
,-2.17,1.8,3.91
,-2.1,2.22,4.66
,-1.82,2.43,4.4
,-2.01,2.12,4.27
,-2.15,2.18,4.68
,-2.18,1.79,3.9
,-1.83,2.08,3.8
,-2.23,2.22,4.96
,-2.02,2.3,4.64
